0,1,2,3,4,5
Date,"App
Version",Crash,"Crash per 1000
devices","ANR
","ANR per 1000
devices"
"Dec 30, 2020",v2.2.3,"3,244",6.47,194,0.39
"Dec 31, 2020",v2.2.3,"2,874",5.72,132,0.26
"Jan 1, 2021",v2.2.3,"2,117",4.22,132,0.26
"Jan 2, 2021",v2.2.3,"2,148",4.28,163,0.33
"Jan 3, 2021",v2.2.3,"2,177",4.34,115,0.23
"Jan 4, 2021",v2.2.3,"2,354",4.69,151,0.30
"Jan 5, 2021",v2.2.3,"2,481",4.94,157,0.31
"Jan 6, 2021",v2.2.3,"2,833",5.65,164,0.33
"Jan 7, 2021",v2.2.3,"2,957",5.91,148,0.30
"Jan 8, 2021",v2.2.3,"2,894",5.78,143,0.29
"Jan 9, 2021",v2.2.3,"2,719",5.45,174,0.35
"Jan 10, 2021",v2.2.3,"2,435",4.88,140,0.28
"Jan 11, 2021",v2.2.3,"2,346",4.71,129,0.26
"Jan 12, 2021",v2.2.3,"2,306",4.63,119,0.24
"Jan 13, 2021",v2.2.3,"2,420",4.87,136,0.27
"Jan 14, 2021",v2.2.3,"2,329",4.69,123,0.25
"Jan 15, 2021",v2.2.3,"2,434",4.90,118,0.24
"Jan 16, 2021",v2.2.3,"2,532",5.10,144,0.29
"Jan 17, 2021",v2.2.3,"2,569",5.18,107,0.22
"Jan 18, 2021",v2.2.3,"2,505",5.04,135,0.27
"Jan 19, 2021",v2.2.3,"2,486",4.99,126,0.25
"Jan 20, 2021",v2.2.3,"2,449",4.90,122,0.24
"Jan 21, 2021",v2.2.3,"2,756",5.50,124,0.25
"Jan 22, 2021",v2.2.3,"2,926",5.83,124,0.25
"Jan 23, 2021",v2.2.3,"2,702",5.38,125,0.25
"Jan 24, 2021",v2.2.3,"2,779",5.51,119,0.24
"Jan 25, 2021",v2.2.3,"2,805",5.54,151,0.30
"Jan 26, 2021",v2.2.3,"2,711",5.33,161,0.32
"Jan 27, 2021",v2.2.3,"2,564",5.01,150,0.29
"Jan 28, 2021",v2.2.3,"2,533",4.93,151,0.29
"Jan 29, 2021",v2.2.3,"2,710",5.26,126,0.25
"Jan 30, 2021",v2.2.3,"2,451",4.75,145,0.28
"Jan 31, 2021",v2.2.3,"2,581",5.00,129,0.25
"Feb 1, 2021",v2.2.3,"2,590",5.02,126,0.24
"Feb 2, 2021",v2.2.3,"2,353",4.56,134,0.26
"Feb 3, 2021",v2.2.3,"2,795",5.40,176,0.34
"Feb 4, 2021",v2.2.3,"3,151",6.09,188,0.36
"Feb 5, 2021",v2.2.3,"2,956",5.69,186,0.36
"Feb 6, 2021",v2.2.3,"3,091",5.92,147,0.28
"Feb 7, 2021",v2.2.3,"3,123",5.95,152,0.29
"Feb 8, 2021",v2.2.3,"3,243",6.14,177,0.34
"Feb 9, 2021",v2.2.3,"3,283",6.17,204,0.38
